code,name,Artista,Musica,Letra
04100,04100.mp4,Roberto Carlos,Você Não Serve Pra Mim,Não fique triste não se zangue
04101,04101.mp4,Legião Urbana,Antes Das Seis,Quem inventou o amor?
04102,04102.mp4,Roupa Nova,Bem Maior,Bem maior que os mares
04103,04103.mp4,Jane Duboc,Chama Da Paixão,Tanto tempo tentando te encontrar
04104,04104.mp4,Roupa Nova,Clarear,Clarear baby clarear
04105,04105.mp4,Alejandro Sanz,Corazón Partío,Tiritas pá este corazón partío...
04106,04106.mp4,Banda Eva,De Ladinho,Não vou ficar sozinha.
04107,04107.mp4,Leno e Lílian,Devolva-Me,Rasgue as minhas cartas e
04108,04108.mp4,Fábio Júnior,Dou Minha Palavra,Sabe a madrugada faz barulho
04109,04109.mp4,Maria Bethânia,É O Amor,Eu não vou negar que sou louco
04110,04110.mp4,Milionário e José Rico,Estrada Da Vida,Nesta longa estrada da vida
04111,04111.mp4,Djavan,Eu Te Devoro,Teus sinais
04112,04112.mp4,Jota Quest,Fácil,"Tudo é tão bom, e azul e calmo"
04113,04113.mp4,Fafá de Belém,Foi Assim,"Foi assim, como um resto de sol"
04114,04114.mp4,Reginaldo Rossi,Garçom,"Garçom, aqui nesta mesa de bar"
04115,04115.mp4,Deborah Blando,Indivisível,Corre em minhas veias sonhos
04116,04116.mp4,Titãs,Insensível,Até parece loucura não sei explicar
04117,04117.mp4,Clara Nunes,Lama,Pelo curto tempo que você sumiu
04118,04118.mp4,Nativus,Liberdade Pra Dentro Da Cabeça,Liberdade pra dentro da cabeça
04119,04119.mp4,Eduardo Duzek,Luz De Velas,"Oh, oh, oh,...Vi seu olhar, seu olhar"
04120,04120.mp4,Soweto,Maçã Do Amor,O seu nome eu anotei na minha
04121,04121.mp4,Pepê e Nenêm,Mania De Você,Por quê você não vem ficar comigo
04122,04122.mp4,Exaltasamba,Me Apaixonei Pela Pessoa Errada,Eu não tenho culpa de estar
04123,04123.mp4,Biafra,Moldura,O tempo passa e a gente
04124,04124.mp4,Benito Di Paula,Mulher Brasileira,Agora chegou a vez vou cantar
04125,04125.mp4,Renato e Seus Blue Caps,Não Te Esquecerei,Não te esquecerei meu eterno amor
04126,04126.mp4,Daniel,Paixão Caipira,Vou pela estrada da minha saudade
04127,04127.mp4,Banda Beijo,Peraê,Pára de sorrir senão te agarro
04128,04128.mp4,Gal Costa,Pra Você,Pra você eu guardei um amor infinito
04129,04129.mp4,Léo Jaime,Preciso Dizer Que Te Amo,Quando a gente conversa
04130,04130.mp4,Altemar Dutra,Que Queres Tu De Mim,Que queres tú de mim?
04131,04131.mp4,Eliana de Lima,Quero Ficar Com Você,Ah... Os meus olhos querem te
04132,04132.mp4,Skank,Saideira,Tem um lugar diferente lá depois
04133,04133.mp4,Claudinho e Buchecha,Só Love,"Só love só love, só love só love"
04134,04134.mp4,Caetano Veloso,Sozinho,As vezes no silêncio da noite
04135,04135.mp4,Os Morenos,Tá A Fim De Sambar,Tá a fim de sambar já pode chegar
04136,04136.mp4,Laura Pausini,U'Na Emergenza D'Amore,E un'emergenza d'amore il mio
04137,04137.mp4,Tim Maia,Vale Tudo,"Vale, vale tudo, vale tudo"
04138,04138.mp4,Adriana Calcanhoto,Vambora,Entre por essa porta agora
04139,04139.mp4,Roberto Carlos,Vê Se Volta Pra Mim,Deixa que eu me acerte com
04140,04140.mp4,Zezé Di Camargo e Luciano,Volta Pro Meu Coração,Noite fria triste céu cinzento
04141,04141.mp4,Asa De Águia,A Dança Do Vampiro,Você é o amor que eu sempre
04142,04142.mp4,Gian e Giovani,Amor De Verdade,A gente se esbarrou por aí
04143,04143.mp4,Leandro e Leonardo,Amor Dividido,Se for pra ter
04144,04144.mp4,Dalva de Oliveira,Bandeira Branca,Bandeira branca amor não posso
04145,04145.mp4,Ronnie Von,Cachoeira,Tantos mistérios pra desvendar
04146,04146.mp4,Fernando Mendes,Cadeira De Rodas,Sentada na porta
04147,04147.mp4,Roberto Carlos,Caminhoneiro,Todo dia quando eu pego a estrada
04148,04148.mp4,Elba Ramalho,"Casa, Comida E Paixão",Lá se vai o meu amor
